"location","reference_date","horizon","target_end_date","output_type","output_type_id","value"
"US National",2011-12-11,2,2011-12-25,"pmf","[6.7,6.8)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[6.8,6.9)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[6.9,7.0)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[7.0,7.1)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[7.1,7.2)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[7.2,7.3)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[7.3,7.4)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[7.4,7.5)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[7.5,7.6)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[7.6,7.7)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[7.7,7.8)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[7.8,7.9)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[7.9,8.0)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[8.0,8.1)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[8.1,8.2)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[8.2,8.3)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[8.3,8.4)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[8.4,8.5)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[8.5,8.6)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[8.6,8.7)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[8.7,8.8)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[8.8,8.9)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[8.9,9.0)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[9.0,9.1)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[9.1,9.2)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[9.2,9.3)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[9.3,9.4)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[9.4,9.5)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[9.5,9.6)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[9.6,9.7)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[9.7,9.8)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[9.8,9.9)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[9.9,10.0)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[10.0,10.1)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[10.1,10.2)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[10.2,10.3)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[10.3,10.4)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[10.4,10.5)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[10.5,10.6)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[10.6,10.7)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[10.7,10.8)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[10.8,10.9)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[10.9,11.0)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[11.0,11.1)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[11.1,11.2)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[11.2,11.3)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[11.3,11.4)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[11.4,11.5)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[11.5,11.6)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[11.6,11.7)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[11.7,11.8)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[11.8,11.9)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[11.9,12.0)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[12.0,12.1)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[12.1,12.2)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[12.2,12.3)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[12.3,12.4)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[12.4,12.5)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[12.5,12.6)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[12.6,12.7)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[12.7,12.8)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[12.8,12.9)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[12.9,13.0)",0.0010002928557539
"US National",2011-12-11,2,2011-12-25,"pmf","[13.0,100.0)",0.0010002928557539
"US National",2011-12-11,3,2012-01-01,"pmf","[0.0,0.1)",0.00107545697632569
"US National",2011-12-11,3,2012-01-01,"pmf","[0.1,0.2)",0.00115458799558333
"US National",2011-12-11,3,2012-01-01,"pmf","[0.2,0.3)",0.00130439336621259
"US National",2011-12-11,3,2012-01-01,"pmf","[0.3,0.4)",0.00157600209318243
"US National",2011-12-11,3,2012-01-01,"pmf","[0.4,0.5)",0.00204741518006719
"US National",2011-12-11,3,2012-01-01,"pmf","[0.5,0.6)",0.00283024379550924
"US National",2011-12-11,3,2012-01-01,"pmf","[0.6,0.7)",0.00407318961189229
"US National",2011-12-11,3,2012-01-01,"pmf","[0.7,0.8)",0.00595858497423119
"US National",2011-12-11,3,2012-01-01,"pmf","[0.8,0.9)",0.0086879939057187
"US National",2011-12-11,3,2012-01-01,"pmf","[0.9,1.0)",0.0124539328168764
"US National",2011-12-11,3,2012-01-01,"pmf","[1.0,1.1)",0.0173976765700136
"US National",2011-12-11,3,2012-01-01,"pmf","[1.1,1.2)",0.0235577605093463
"US National",2011-12-11,3,2012-01-01,"pmf","[1.2,1.3)",0.030819173163812
"US National",2011-12-11,3,2012-01-01,"pmf","[1.3,1.4)",0.0388774877761934
"US National",2011-12-11,3,2012-01-01,"pmf","[1.4,1.5)",0.0472330676153305
"US National",2011-12-11,3,2012-01-01,"pmf","[1.5,1.6)",0.0552263349748123
"US National",2011-12-11,3,2012-01-01,"pmf","[1.6,1.7)",0.0621158445041503
"US National",2011-12-11,3,2012-01-01,"pmf","[1.7,1.8)",0.0671886349411191
"US National",2011-12-11,3,2012-01-01,"pmf","[1.8,1.9)",0.0698809436142405
"US National",2011-12-11,3,2012-01-01,"pmf","[1.9,2.0)",0.0698812175664142
"US National",2011-12-11,3,2012-01-01,"pmf","[2.0,2.1)",0.0671894246774722
"US National",2011-12-11,3,2012-01-01,"pmf","[2.1,2.2)",0.0621170598590601
"US National",2011-12-11,3,2012-01-01,"pmf","[2.2,2.3)",0.055227844670771
"US National",2011-12-11,3,2012-01-01,"pmf","[2.3,2.4)",0.0472347225405274
"US National",2011-12-11,3,2012-01-01,"pmf","[2.4,2.5)",0.0388791449153621
"US National",2011-12-11,3,2012-01-01,"pmf","[2.5,2.6)",0.0308207149568286
"US National",2011-12-11,3,2012-01-01,"pmf","[2.6,2.7)",0.0235591062963694
"US National",2011-12-11,3,2012-01-01,"pmf","[2.7,2.8)",0.0173987852908773
"US National",2011-12-11,3,2012-01-01,"pmf","[2.8,2.9)",0.0124547983843217
"US National",2011-12-11,3,2012-01-01,"pmf","[2.9,3.0)",0.0086886360407041
"US National",2011-12-11,3,2012-01-01,"pmf","[3.0,3.1)",0.00595903858172069
"US National",2011-12-11,3,2012-01-01,"pmf","[3.1,3.2)",0.00407349519071321
"US National",2011-12-11,3,2012-01-01,"pmf","[3.2,3.3)",0.00283044034108727
"US National",2011-12-11,3,2012-01-01,"pmf","[3.3,3.4)",0.00204753598900699
"US National",2011-12-11,3,2012-01-01,"pmf","[3.4,3.5)",0.00157607310808508
"US National",2011-12-11,3,2012-01-01,"pmf","[3.5,3.6)",0.00130443331223105
"US National",2011-12-11,3,2012-01-01,"pmf","[3.6,3.7)",0.00115460950775452
"US National",2011-12-11,3,2012-01-01,"pmf","[3.7,3.8)",0.00107546807214316
"US National",2011-12-11,3,2012-01-01,"pmf","[3.8,3.9)",0.00103541597446106
"US National",2011-12-11,3,2012-01-01,"pmf","[3.9,4.0)",0.001015990022351
"US National",2011-12-11,3,2012-01-01,"pmf","[4.0,4.1)",0.00100695784758054
"US National",2011-12-11,3,2012-01-01,"pmf","[4.1,4.2)",0.00100293108382116
"US National",2011-12-11,3,2012-01-01,"pmf","[4.2,4.3)",0.0010012093695377
"US National",2011-12-11,3,2012-01-01,"pmf","[4.3,4.4)",0.00100050324188066
"US National",2011-12-11,3,2012-01-01,"pmf","[4.4,4.5)",0.00100022540539296
"US National",2011-12-11,3,2012-01-01,"pmf","[4.5,4.6)",0.00100012051443479
"US National",2011-12-11,3,2012-01-01,"pmf","[4.6,4.7)",0.00100008251460803
"US National",2011-12-11,3,2012-01-01,"pmf","[4.7,4.8)",0.00100006930267709
"US National",2011-12-11,3,2012-01-01,"pmf","[4.8,4.9)",0.00100006489374409
"US National",2011-12-11,3,2012-01-01,"pmf","[4.9,5.0)",0.00100006348146565
"US National",2011-12-11,3,2012-01-01,"pmf","[5.0,5.1)",0.00100006304719533
"US National",2011-12-11,3,2012-01-01,"pmf","[5.1,5.2)",0.00100006291899673
"US National",2011-12-11,3,2012-01-01,"pmf","[5.2,5.3)",0.00100006288266243
"US National",2011-12-11,3,2012-01-01,"pmf","[5.3,5.4)",0.00100006287277499
